device_vendor,device_type,[HostAndAudience]AudioAndVideoDurationMinutes
samsung,sm-s928u,6467524.083333340
samsung,sm-s918u,5505682.933333340
samsung,sm-s908u,4218705.6666666600
samsung,sm-s926u,2814486.63333333
samsung,sm-s911u,2284018.133333330
samsung,sm-s921u,2166362.8500000000
samsung,sm-s901u,2128855.066666670
samsung,sm-s916u,2039212.2333333300
samsung,sm-a146b,1768204.7833333300
samsung,sm-a156u,1740735.233333330
samsung,sm-g998u,1677811.016666670
samsung,sm-s918b,1613924.500000000
samsung,sm-s906u,1601411.5666666700
samsung,sm-s928b,1590660.6833333300
samsung,sm-a146u,1486635.1833333300
samsung,sm-g991u,1452417.1666666700
samsung,sm-s928b,1452180.6666666700
samsung,sm-a156u,1443067.333333330
samsung,sm-a156e,1309042.016666670
samsung,sm-a155f,1293277.0666666700
samsung,sm-s938u,1238963.0666666700
samsung,sm-s928u1,1201291.7166666700
samsung,sm-a146u,1170140.9333333300
samsung,sm-s918b,1165602.9666666700
samsung,sm-a546e,1140237.933333330
google,pixel 7,1137827.7833333300
google,pixel 8 pro,1125230.016666670
google,pixel 7 pro,1094862.4000000000
samsung,sm-a556e,1087388.9
google,pixel 6a,1046094.6500000000
samsung,sm-s711u,1034289.1833333300
samsung,sm-a135f,1029271.7333333300
samsung,sm-a515f,1011662.2500000000
samsung,sm-a156u,1005595.6000000000
samsung,sm-a346e,993083.9666666670
google,pixel 7a,992579.0833333330
google,pixel 9 pro xl,959729.1666666670
google,pixel 8a,937881.9166666670
samsung,sm-a528b,934694.3333333330
samsung,sm-a217f,928907.5166666660
samsung,sm-a346e,903685.0333333330
google,pixel 8,903643.3666666670
samsung,sm-g996u,896113.5333333340
samsung,sm-a127f,887567.3333333330
samsung,sm-a125f,882864.3000000000
samsung,sm-a356e,882805.0000000000
samsung,sm-a135f,870780.8833333330
samsung,sm-a325f,868534.1666666670
samsung,sm-e156b,866275.0333333340
samsung,sm-a155f,865462.6000000000
samsung,sm-a556e,858264.4833333330
samsung,sm-s928u,817678.0
samsung,sm-a546e,816863.8166666680
samsung,sm-s928u,808180.8833333340
samsung,sm-a055f,787299.7833333340
samsung,sm-a145f,777476.6500000000
samsung,sm-a235f,771554.9333333330
samsung,sm-a125f,764337.0166666670
samsung,sm-a042f,760978.1833333340
samsung,sm-a127f,755686.1333333330
samsung,sm-s918u1,753015.1833333340
samsung,sm-g781u,752097.9166666670
samsung,sm-s918u,738341.8500000000
samsung,sm-n986u,736928.283333334
samsung,sm-a217f,726931.5333333330
samsung,sm-a715f,726100.05
samsung,sm-s928b,707881.5166666670
samsung,sm-a135f,706407.3666666670
google,pixel 6,700302.8833333330
samsung,sm-a356e,684260.2000000000
samsung,sm-f946u,678962.966666667
samsung,sm-s908e,676686.4000000000
samsung,sm-a055f,662554.4166666670
samsung,sm-a055f,661541.0500000000
samsung,sm-s918u,655569.2333333340
samsung,sm-s911b,653430.2500000010
samsung,sm-a235f,645588.3166666670
samsung,sm-g990e,644304.5333333330
samsung,sm-s928u,643750.0333333340
samsung,sm-a156u,640333.4333333340
samsung,sm-a125f,635237.05
samsung,sm-s918b,626337.5500000000
samsung,sm-s908u,622569.0333333340
samsung,sm-s721u,615515.6833333340
samsung,sm-a546u,611343.2500000000
samsung,sm-a137f,608184.8833333340
samsung,sm-s908u1,603819.1333333340
samsung,sm-a156e,600254.1500000000
samsung,sm-s711b,598530.5500000000
samsung,sm-s908e,597498.5166666670
samsung,sm-s911b,593987.7000000000
samsung,sm-a146b,587498.6833333330
samsung,sm-s908u,582823.1166666670
google,pixel 9,580024.9166666670
samsung,sm-s921b,576779.733333333
samsung,sm-a326u,569217.7333333340
samsung,sm-a155f,556665.7333333340
samsung,sm-a556e,555894.8500000000
samsung,sm-a736b,554751.016666667
samsung,sm-a505f,554338.7333333330
samsung,sm-g975u,552942.4333333340
samsung,sm-a525f,548658.9166666670
samsung,sm-s918u,540091.816666667
samsung,sm-a536e,539335.15
samsung,sm-s146vl,538013.1833333330
samsung,sm-a245f,537661.9333333340
samsung,sm-a155m,536391.2500000000
samsung,sm-a515f,531685.3666666670
samsung,sm-a136u,530671.3500000000
samsung,sm-f956u,526350.6166666670
samsung,sm-a325f,524566.5000000000
samsung,sm-a032f,523930.68333333300
samsung,sm-s928b,521121.9833333340
samsung,sm-a346e,515406.38333333300
samsung,sm-a057f,515397.1000000000
samsung,sm-a047f,513990.35000000000
samsung,sm-f936u,510829.7166666670
samsung,sm-n960u,504935.75000000000
samsung,sm-s911b,502824.0166666670
samsung,sm-s928u,501551.88333333400
samsung,sm-a057f,497614.4
samsung,sm-a325f,494108.18333333300
samsung,sm-a042f,489610.55
samsung,sm-s146vl,483875.0000000000
samsung,sm-g998b,481881.7666666670
samsung,sm-g973u,480947.2166666670
samsung,sm-m115f,479637.26666666700
samsung,sm-f731u,479289.80000000000
samsung,sm-n975u,476122.1166666670
samsung,sm-g781v,474874.7333333330
samsung,sm-a155f,473791.8833333330
samsung,sm-s918b,472159.48333333400
samsung,sm-a226b,471305.4000000000
samsung,sm-a236e,468126.96666666700
samsung,sm-s918u,465917.21666666700
samsung,sm-a528b,464247.4333333340
samsung,sm-a156u,461076.5833333340
samsung,sm-a256e,460610.8666666670
samsung,sm-a536u,451184.6333333330
samsung,sm-a715f,448725.9166666670
samsung,sm-a226b,446117.40000000000
google,pixel 6 pro,443077.9000000000
samsung,sm-g990u,441836.78333333400
samsung,sm-s921b,441738.5666666670
samsung,sm-a146u,441321.4666666670
samsung,sm-g781b,440748.6833333330
samsung,sm-s711b,437398.6000000000
samsung,sm-a057f,434901.0833333340
samsung,sm-a166p,427466.91666666700
samsung,sm-a127f,426383.5
samsung,sm-a037f,425694.55000000000
samsung,sm-a137f,425413.78333333300
samsung,sm-g960u,421344.8666666670
samsung,sm-a042f,419049.65000000000
samsung,sm-a546e,416683.08333333400
samsung,sm-g991u,415112.55
samsung,sm-a136u,410906.2000000000
samsung,sm-a715f,407357.95000000000
samsung,sm-s156v,406980.5666666670
samsung,sm-a037u,405154.28333333300
google,pixel 7a,404492.26666666700
samsung,sm-a137f,402205.9500000000
samsung,sm-s936u,401595.13333333300
samsung,sm-g991b,400719.1500000000
google,pixel 6a,400622.7
samsung,sm-g990u2,399872.8500000000
samsung,sm-a235f,399648.13333333300
samsung,sm-s908u,399156.38333333400
google,pixel 7a,397960.7500000000
samsung,sm-g965u,396065.86666666700
samsung,sm-f741u,390142.5166666670
samsung,sm-a047f,389217.00000000000
samsung,sm-s908b,388247.0666666670
samsung,sm-a217f,387679.5833333330
samsung,sm-a315f,387622.51666666600
samsung,sm-g970u,387137.48333333400
samsung,sm-m315f,385522.9000000000
samsung,sm-a035f,385481.01666666700
samsung,sm-g986u,383541.7166666670
google,pixel 8a,381277.2000000000
samsung,sm-s908u,380020.71666666700
samsung,sm-a107f,379967.05
samsung,sm-s911u,379065.31666666700
samsung,sm-a515f,377737.5166666670
samsung,sm-g998u,377220.6166666670
samsung,sm-a145f,376359.3666666670
samsung,sm-g998b,373738.9666666670
samsung,sm-n981u,371654.2166666670
samsung,sm-a127f,371171.0333333330
samsung,sm-s921u,370066.98333333300
samsung,sm-s938u1,368235.2500000000
samsung,sm-a336e,367659.40000000000
samsung,sm-g781b,367509.5000000000
samsung,sm-a217f,367110.5666666670
samsung,sm-a256e,362478.33333333300
samsung,sm-s921b,361965.7833333330
samsung,sm-a226b,358470.95000000000
samsung,sm-m146b,357921.4000000000
google,pixel 9 pro,357609.93333333300
samsung,sm-a536e,357302.8666666670
samsung,sm-a326u,356927.4833333330
samsung,sm-a356u,353528.43333333300
samsung,sm-g781b,352566.0166666670
samsung,sm-a156e,347778.7333333330
samsung,sm-a525f,345360.4000000000
samsung,sm-a225f,344626.53333333300
samsung,sm-a146b,344408.8500000000
samsung,sm-a505f,342289.5500000000
samsung,sm-a356e,341176.7833333330
samsung,sm-x210,339896.45000000000
samsung,sm-a156e,339827.9666666670
samsung,sm-a037f,338426.2000000000
samsung,sm-a146p,337561.36666666700
samsung,sm-a145r,337176.9333333330
google,pixel 8a,336157.31666666700
samsung,sm-g975f,335933.20000000000
samsung,sm-m315f,335192.8500000000
samsung,sm-g998u1,334505.26666666700
samsung,sm-a047f,333655.35
samsung,sm-a307fn,333443.90000000000
samsung,sm-s921u,331052.8833333340
samsung,sm-a336e,330378.5166666670
samsung,sm-s901b,328913.3500000000
samsung,sm-s911u,328012.15
samsung,sm-a556e,327826.9833333330
samsung,sm-a146b,326991.0000000000
samsung,sm-s911b,326974.0500000000
samsung,sm-a146u,326971.8833333330
samsung,sm-a315f,326203.11666666600
samsung,sm-s901u,325778.7500000000
samsung,sm-a546b,323555.3666666670
samsung,sm-m127g,322547.0333333330
samsung,sm-a032f,320293.5333333330
samsung,sm-a546e,319502.23333333300
samsung,sm-a528b,318818.2666666670
samsung,sm-a245f,318292.53333333300
samsung,sm-a705fn,317874.20000000000
samsung,sm-a037f,317275.15
samsung,sm-a356e,316932.96666666700
samsung,sm-a207f,316390.13333333300
samsung,sm-a307fn,315159.11666666700
samsung,sm-a305f,313836.70000000000
google,pixel 8,312454.03333333300
samsung,sm-n975f,311535.7666666670
samsung,sm-s908e,310605.25000000000
samsung,sm-s926u,310368.90000000000
samsung,sm-g991b,308998.61666666700
samsung,sm-e236b,306975.93333333300
samsung,sm-a037u,306941.1166666670
samsung,sm-a525f,306205.20000000000
samsung,sm-s926u1,302997.8
samsung,sm-a725f,300631.1333333330
samsung,sm-a065f,299603.11666666700
google,pixel 6a,299430.5666666670
samsung,sm-a515f,299271.6833333330
samsung,sm-s908b,298620.61666666700
samsung,sm-x200,298087.06666666700
samsung,sm-g991b,297863.0166666670
samsung,sm-a035f,296435.5166666670
samsung,sm-s901b,296231.7166666670
samsung,sm-s711u,295377.9166666670
samsung,sm-a305f,291875.36666666700
samsung,sm-a165f,291300.93333333300
samsung,sm-g781u1,290494.5166666670
samsung,sm-n960f,290438.21666666700
samsung,sm-f926u,290433.45000000000
samsung,sm-e156b,290348.3333333330
samsung,sm-s711b,289985.80000000000
samsung,sm-a045f,289809.2333333340
samsung,sm-a205f,288082.30000000000
samsung,sm-a155m,287165.7500000000
samsung,sm-s911u,282782.18333333300
samsung,sm-s931u,281691.8833333330
samsung,sm-a736b,281576.2500000000
samsung,sm-s135dl,281504.9000000000
samsung,sm-g975f,281208.9500000000
samsung,sm-g965f,278767.15000000000
samsung,sm-a107f,278416.13333333300
samsung,sm-g973f,278323.3833333330
samsung,sm-g780g,277940.0833333330
samsung,sm-a156u1,274094.6833333330
samsung,sm-a528b,272632.95000000000
samsung,sm-s901b,271491.5500000000
samsung,sm-a207f,268697.7833333330
google,pixel 7 pro,267898.1333333330
samsung,sm-a145f,266985.8166666670
samsung,sm-g996u,266824.65000000000
samsung,sm-s938b,266257.1333333330
samsung,sm-a065f,265621.3666666670
samsung,sm-e146b,263052.0
samsung,sm-s901u,262919.3500000000
google,pixel 8,262878.15
samsung,sm-a546b,262683.65000000000
samsung,sm-a325m,261837.8333333330
samsung,sm-g991u1,259678.55000000000
samsung,sm-g998b,258522.51666666700
google,pixel 7,257792.9166666670
samsung,sm-s921u,256520.7166666670
samsung,sm-a145m,255759.33333333300
samsung,sm-a057f,255463.58333333300
samsung,sm-s916u,254541.61666666700
samsung,sm-a045f,250461.06666666700
samsung,sm-g780g,249544.40000000000
samsung,sm-a166u,249396.31666666700
samsung,sm-a556b,248944.65000000000
samsung,sm-m135fu,248724.68333333300
samsung,sm-a546u,248716.50000000000
samsung,sm-s928u1,247773.06666666700
samsung,sm-a035f,247432.2166666670
samsung,sm-a225f,246699.20000000000
samsung,sm-a166u,246470.76666666700
samsung,sm-a556b,245787.8
samsung,sm-g990e,245222.6000000000
samsung,sm-a045f,244486.35000000000
google,pixel 8 pro,244019.71666666700
samsung,sm-g988u,243302.28333333300
samsung,sm-f956u1,243047.5333333330
samsung,sm-a346b,242691.0166666670
samsung,sm-n986b,241845.0333333330
samsung,sm-g781u,241603.55000000000
samsung,sm-a065f,241527.38333333300
google,pixel 6a,241340.80000000000
samsung,sm-e135f,241303.18333333300
samsung,sm-g610f,241095.86666666700
samsung,sm-s921b,239819.35000000000
samsung,sm-g780g,239760.96666666700
samsung,sm-s926u,239735.45000000000
samsung,sm-m156b,238047.30000000000
samsung,sm-g998u,236538.31666666700
samsung,sm-a115f,235538.66666666700
samsung,sm-a536b,235459.5666666670
samsung,sm-a326b,235154.06666666700
samsung,sm-g990b2,234542.43333333300
samsung,sm-s901u,234075.45000000000
samsung,sm-g981u,232720.48333333300
samsung,sm-s926b,232489.58333333300
samsung,sm-a716u,232184.96666666700
samsung,sm-m127g,230692.80000000000
samsung,sm-s916u,228904.2333333330
google,pixel 7,227024.4333333330
samsung,sm-s134dl,226958.10000000000
samsung,scg13,226124.66666666700
samsung,sm-s906u,225195.76666666700
samsung,sm-f721u,225109.91666666700
samsung,sm-s156v,223716.33333333300
samsung,sm-s926u,223486.13333333300
samsung,sm-s926u,223295.2833333330
samsung,sm-a526u,223015.1166666670
samsung,sm-a135m,222729.40000000000
samsung,sm-m346b,222595.05000000000
samsung,sm-a055m,222487.68333333300
samsung,sm-a225f,222441.6666666670
samsung,sm-s136dl,222001.4333333330
samsung,sm-g998b,221548.18333333300
samsung,sm-m135fu,218085.78333333300
samsung,sm-a245f,217959.00000000000
samsung,sm-a336e,217253.55000000000
samsung,sm-a536b,216656.2666666670
samsung,sm-n986u1,216266.38333333300
samsung,sm-a505f,215568.25000000000
samsung,sm-n986u,214755.35
samsung,sm-a105f,214750.05000000000
samsung,sm-a546b,214341.0166666670
samsung,sm-s908b,214165.33333333300
samsung,sm-s921u,213564.83333333300
samsung,sm-g950u,211281.40000000000
samsung,sm-s918u1,210566.1
samsung,sm-s906u1,208909.53333333300
samsung,sc-03l,208644.71666666700
samsung,sm-t220,208387.83333333300
samsung,sm-s134dl,208387.20000000000
samsung,sm-m307f,208216.30000000000
samsung,sm-a556b,208163.96666666700
samsung,sm-a125u,207973.56666666700
samsung,sm-s546vl,207487.48333333300
samsung,sm-s938b,206457.93333333300
samsung,sm-s911u,206220.01666666700
samsung,sm-g960f,205627.08333333300
samsung,sm-a125u,204487.6666666670
samsung,sm-x200,204454.71666666700
samsung,sm-f711u,204355.66666666700
samsung,sm-a205f,204280.95000000000
samsung,sm-s711b,203345.43333333300
samsung,sm-g960u,202065.58333333300
samsung,sm-a217m,201469.65000000000
samsung,sm-m127f,201226.7666666670
samsung,sm-n950u,201113.21666666700
samsung,sm-g990e,200374.96666666700
samsung,sm-s256vl,199919.5833333330
samsung,sm-g960f,199355.81666666700
samsung,sm-g991u,197440.5
samsung,sm-e156b,196886.28333333300
samsung,sm-s911u1,195677.36666666700
samsung,sm-s721u,195596.1333333330
samsung,sm-n950f,195368.06666666700
samsung,sm-g973f,195045.7333333330
samsung,sm-g950f,194783.15000000000
samsung,sm-s901u,194618.90000000000
samsung,sm-g975f,194206.83333333300
samsung,sm-a207f,193981.18333333300
samsung,sc-53c,193586.35
samsung,sm-s901u1,193524.68333333300
samsung,sm-s536dl,191537.8500000000
samsung,sm-a346m,191495.8000000000
samsung,sm-g990b2,191481.93333333300
samsung,sm-s916u,191309.53333333300
samsung,sm-g975u,190191.90000000000
samsung,sm-s908e,189350.3833333330
samsung,sm-s918w,189057.68333333300
samsung,sm-a145f,187573.78333333300
samsung,sm-t220,187366.31666666700
samsung,sm-s135dl,186778.63333333300
samsung,sm-g990b2,186454.18333333300
samsung,sm-g996b,186397.28333333300
samsung,sm-a356u,186297.3833333330
google,pixel 8 pro,185953.7166666670
samsung,sm-a105f,185652.10000000000
samsung,sm-m515f,185346.2333333330
samsung,sm-g990u,185253.6
samsung,sm-a236e,185108.9333333330
samsung,sm-a426u,184735.06666666700
samsung,sm-g610f,184574.53333333300
samsung,sm-a055m,184307.31666666700
samsung,sm-a166u,184072.36666666700
samsung,sm-g965u,184053.05000000000
google,pixel 7a,183589.65
samsung,sm-g950f,183509.83333333300
google,pixel 7,182990.76666666700
samsung,sm-a135f,182838.03333333300
samsung,sm-a236u,182546.7666666670
samsung,sm-s938u,181945.61666666700
samsung,sm-s906u,181886.20000000000
samsung,sm-s928w,181849.06666666700
samsung,sm-g780f,181579.25000000000
samsung,sm-a156m,181399.43333333300
samsung,sm-x218u,180763.75
samsung,sm-s926b,180546.4
samsung,sm-g998u,180493.1333333330
samsung,sm-s721b,180333.01666666700
samsung,sm-g975u,180212.8666666670
samsung,sm-m145f,180082.41666666700
samsung,sm-s721b,180053.80000000000
samsung,sm-a032f,178960.5833333330
samsung,sm-g965f,178157.36666666700
samsung,sm-t227u,177318.50000000000
samsung,sm-a145p,177140.28333333300
samsung,sm-s916u1,176541.05
samsung,sm-a022f,176201.10000000000
samsung,sc-56b,174415.15000000000
samsung,sm-m315f,174328.61666666700
samsung,sm-a546u,173526.08333333300
google,pixel 9,173334.78333333300
samsung,sm-g935f,172628.5
samsung,sm-e135f,172526.45000000000
samsung,sm-m115f,171892.50000000000
samsung,sm-a025f,171854.90000000000
samsung,sm-a536e,170510.6
samsung,sm-a536b,170403.3666666670
samsung,sm-s711u,170394.55000000000
samsung,sm-a346e,170253.0000000000
samsung,sm-s908u1,169629.31666666700
samsung,sm-m336bu,169113.53333333300
samsung,sm-g780f,168790.8166666670
google,pixel 8,168762.21666666700
samsung,sm-g988b,168635.05000000000
samsung,sm-f127g,168433.65000000000
samsung,sm-a315g,167780.05
samsung,sm-a136u,167646.08333333300
samsung,sm-n981u,167559.3666666670
google,pixel 8a,167519.0666666670
samsung,sm-s711u,167502.7666666670
samsung,sm-m115f,167467.5833333330
samsung,sm-g990b,167273.8833333330
samsung,sm-m336bu,166869.1166666670
samsung,sm-a346b,166757.3833333330
samsung,sm-s928b,166607.73333333300
samsung,sm-m325f,166206.1
samsung,sm-s906u,165834.4833333330
samsung,sm-a346b,165632.68333333300
samsung,sm-s908e,165393.3500000000
samsung,sm-a546b,165277.26666666700
samsung,sm-s926b,165012.95000000000
samsung,sm-g973u1,164594.15
samsung,sm-m045f,164135.05000000000
samsung,sm-a725f,164114.58333333300
samsung,sm-s921u1,164083.5833333330
samsung,sm-a326b,163731.53333333300
samsung,sm-n986u,163390.00000000000
samsung,scg13,163387.30000000000
samsung,sm-a107f,163268.46666666700
samsung,sm-m146b,163198.65000000000
samsung,sm-g996b,162516.26666666700
samsung,sm-s916b,162387.70000000000
samsung,sm-t510,161851.7833333330
samsung,sm-g955f,161475.21666666700
samsung,sm-n975f,160552.9166666670
samsung,sm-s721b,160245.40000000000
samsung,sm-a315g,160041.41666666700
samsung,sm-a146p,159858.0833333330
samsung,sm-s916u,159805.98333333300
samsung,sm-e156b,158997.33333333300
samsung,sm-j600g,158400.75
samsung,sm-n975u,158072.7166666670
samsung,sm-n770f,158060.1166666670
samsung,sm-s916b,157610.20000000000
samsung,sm-g990u2,156799.0166666670
samsung,sm-x218u,155655.01666666700
samsung,sm-g996u1,155579.6500000000
google,pixel 9 pro xl,155328.78333333300
samsung,sm-j701f,154668.11666666700
google,pixel 6,154522.8333333330
samsung,sm-s911n,153905.75000000000
samsung,sm-a115f,153689.05
samsung,sm-a256e,152986.78333333300
samsung,sm-a315g,152766.21666666700
samsung,sm-a115f,152526.8833333330
samsung,sm-s901b,152404.1166666670
samsung,sm-g610f,152198.95
samsung,sm-a507fn,151478.95
samsung,sm-g973u,151371.65000000000
samsung,sm-t225,150887.68333333300
google,pixel 8 pro,150825.5
samsung,sm-n975f,150804.10000000000
samsung,sm-g955u,150500.2333333330
samsung,sm-a225m,150384.28333333300
samsung,sm-n960u,150307.30000000000
samsung,sm-s918b,150231.35000000000
samsung,sm-m215f,150219.46666666700
samsung,sm-s906u,149876.91666666700
sharp,sh-51c,148839.08333333300
samsung,sm-g970u,148723.7666666670
samsung,sm-a165f,148590.0166666670
samsung,sm-s938b,148396.36666666700
